Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050
TU\TechnoFriendly,Hydro,1769.26,1386.26,1086.17, 851.05, 666.82, 522.47, 409.37, 64.15
TU\TechnoFriendly,PV,   0.00,   0.00,   0.00,   0.00,   0.00, 141.84, 127.55, 17.02
TU\TechnoFriendly,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,  13.53,   1.55,  0.24
TU\TechnoFriendly,Wind Offshore Deep,   0.00,   0.00,   0.00,   0.00,1861.24, 202.76, 158.87, 24.90
TU\TechnoFriendly,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00, 72.97
TU\TechnoFriendly,Wind Onshore,   0.00,   0.00,4978.94,4138.61, 539.93, 531.64, 338.76,249.43
TU\TechnoFriendly,Sum,1824.75,1457.43,6065.11,4989.66,3067.99,1412.24,1036.10,428.71
TU\SocietalCommitment,Hydro,1769.26,1386.26,1086.17,4072.11, 883.90, 692.56, 542.64, 85.03
TU\SocietalCommitment,PV,   0.00,   0.00,   0.00,   0.00,1045.27, 274.00,  95.05, 92.54
TU\SocietalCommitment,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,  13.53,   1.55,  0.24
TU\SocietalCommitment,Wind Onshore,   0.00,6899.85,5459.62,2294.60,3141.35, 719.25,1287.36,278.49
TU\SocietalCommitment,Sum,1824.75,8357.28,6545.79,6366.71,5070.52,1699.34,1926.60,456.30
TU\GradualDevelopment,Hydro,1769.26,1386.26,1086.17,3083.27, 817.25, 636.84, 501.72, 78.62
TU\GradualDevelopment,PV,   0.00,   0.00,   0.00,   0.00, 368.96, 451.44, 113.99, 30.26
TU\GradualDevelopment,Thermal,  55.49,  71.17,   0.00,   0.00,   0.00,   0.00,   6.65,  0.20
TU\GradualDevelopment,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00,   0.00,2457.06, 307.66, 48.21
TU\GradualDevelopment,Wind Onshore,   0.00,   0.00,4978.94,5742.27,1910.50, 603.72, 473.03,347.54
TU\GradualDevelopment,Sum,1824.75,1457.43,6065.11,8825.54,3096.72,4149.05,1403.05,504.83
TU\DirectedTransition,Hydro,1769.26,1386.26,1086.17, 851.05, 666.82, 522.47, 409.37, 64.15
TU\DirectedTransition,PV,   0.00,   0.00,   0.00,   0.00,   0.00, 209.00, 134.77,  6.73
TU\DirectedTransition,Thermal,  55.49,  71.17,1334.73, 319.04, 300.79,  59.37,  37.47,  9.93
TU\DirectedTransition,Wind Offshore Deep,   0.00,   0.00,   0.00,   0.00, 602.85,  65.67, 685.61, 27.35
TU\DirectedTransition,Wind Offshore Transitional,   0.00,   0.00,   0.00,   0.00,   0.00, 107.09,  13.41,  2.10
TU\DirectedTransition,Wind Onshore,   0.00,   0.00,4978.94,4138.61, 539.93, 531.64, 338.76,249.43
TU\DirectedTransition,Sum,1824.75,1457.43,7399.84,5308.69,2110.38,1495.24,1619.39,359.69
